,Time,Status,Message
0,0 days 00:00:00,1,AllClear
1,0 days 00:25:31.516000,2,Yellow
2,0 days 00:25:37.692000,1,AllClear
3,0 days 00:51:03.026000,2,Yellow
4,0 days 00:51:13.019000,1,AllClear
5,0 days 01:19:22.344000,5,Red
6,0 days 02:02:18.135000,1,AllClear
7,0 days 02:05:59.441000,2,Yellow
8,0 days 02:06:15.238000,1,AllClear
9,0 days 02:07:21.514000,4,SCDeployed
10,0 days 02:08:37.509000,1,AllClear
11,0 days 02:14:27.027000,2,Yellow
12,0 days 02:14:29.640000,1,AllClear
13,0 days 02:21:45.327000,2,Yellow
14,0 days 02:21:52.470000,1,AllClear
15,0 days 02:22:59.472000,2,Yellow
16,0 days 02:23:06.994000,1,AllClear
17,0 days 02:33:15.824000,2,Yellow
18,0 days 02:33:19.417000,1,AllClear
19,0 days 02:37:54.716000,2,Yellow
20,0 days 02:38:01.377000,1,AllClear
21,0 days 02:46:32.826000,2,Yellow
22,0 days 02:46:46.261000,6,VSCDeployed
23,0 days 02:48:33.853000,4,SCDeployed
24,0 days 02:54:02.815000,5,Red
25,0 days 03:10:08.667000,1,AllClear
26,0 days 03:50:03.263000,2,Yellow
27,0 days 03:50:10.544000,1,AllClear
28,0 days 03:54:35,2,Yellow
29,0 days 03:54:43.128000,1,AllClear
30,0 days 04:04:20.991000,2,Yellow
