,Time,Status,Message
0,0 days 00:00:00,1,AllClear
1,0 days 00:10:06.521000,2,Yellow
2,0 days 00:10:08.261000,1,AllClear
3,0 days 00:14:45.524000,2,Yellow
4,0 days 00:14:47.025000,1,AllClear
5,0 days 00:14:48.446000,2,Yellow
6,0 days 00:14:50.265000,1,AllClear
7,0 days 00:15:30.757000,2,Yellow
8,0 days 00:15:34.166000,1,AllClear
9,0 days 01:02:54.062000,2,Yellow
10,0 days 01:02:58.311000,1,AllClear
11,0 days 01:32:34.068000,2,Yellow
12,0 days 01:33:06.788000,4,SCDeployed
13,0 days 01:41:54.800000,1,AllClear
14,0 days 01:43:05.660000,2,Yellow
15,0 days 01:43:13.471000,4,SCDeployed
16,0 days 01:52:19.096000,1,AllClear
