,Time,Status,Message
0,0 days 00:00:48.957000,1,AllClear
1,0 days 00:23:00.042000,2,Yellow
2,0 days 00:23:28.942000,1,AllClear
3,0 days 00:34:01.046000,2,Yellow
4,0 days 00:34:55.313000,1,AllClear
5,0 days 00:55:30.229000,2,Yellow
6,0 days 00:56:02.453000,5,Red
7,0 days 01:27:38.765000,1,AllClear
8,0 days 01:28:21.354000,2,Yellow
9,0 days 01:28:46.158000,1,AllClear
10,0 days 01:30:17.702000,2,Yellow
11,0 days 01:31:21.633000,1,AllClear
12,0 days 01:35:56.551000,4,SCDeployed
13,0 days 01:37:45.833000,1,AllClear
14,0 days 02:45:26.441000,2,Yellow
15,0 days 02:45:31.016000,1,AllClear
